                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9785,                 4.1122,                 4.2092,                0.00367,                0.69231,                0.00987,                0.00335,                 2.2443,                 3.7599,                 4.1418,             0.00064706,             0.00064706,             0.00064706
                      2,                 2.9129,                 3.7433,                 3.9319,                0.00374,                0.70513,                0.01234,                0.00421,                  2.283,                  3.678,                 4.1773,              0.0012704,              0.0012704,              0.0012704
                      3,                 2.9648,                 3.3952,                   3.68,                0.02594,                0.19231,                0.01447,                0.00483,                 2.5276,                 6.5918,                  4.163,              0.0018497,              0.0018497,              0.0018497
                      4,                  2.922,                 3.2448,                 3.5678,                0.00772,                0.53846,                0.00639,                0.00255,                 2.6098,                 282.49,                 7.8106,               0.001802,               0.001802,               0.001802
                      5,                 2.9106,                 3.0068,                 3.4563,                0.01747,                 0.4359,                0.01008,                0.00403,                  2.564,                 310.45,                 7.2578,               0.001802,               0.001802,               0.001802
                      6,                 2.7071,                 2.7859,                 3.3269,                0.29031,                0.29487,                0.23053,                0.07973,                 2.4015,                 6.7424,                 3.6955,               0.001736,               0.001736,               0.001736
                      7,                 2.6661,                 2.6738,                 3.2578,                0.15741,                0.28205,                0.13283,                0.04128,                 2.2222,                 3.0908,                 3.1609,                0.00167,                0.00167,                0.00167
                      8,                 2.5845,                  2.636,                 3.2224,                0.36488,                0.30769,                0.24992,                0.10982,                 2.1164,                 3.4204,                 3.0675,               0.001604,               0.001604,               0.001604
                      9,                 2.5313,                 2.6114,                 3.1696,                0.24841,                0.28205,                0.15686,                0.07529,                 2.0368,                  4.524,                 2.9618,               0.001538,               0.001538,               0.001538
                     10,                 2.3675,                  2.441,                   3.05,                0.14012,                0.24359,                0.09419,                0.03074,                  2.133,                  3.814,                 3.1085,               0.001472,               0.001472,               0.001472
                     11,                 2.3652,                 2.4484,                 2.9704,                0.39739,                0.41026,                0.33251,                0.16884,                 1.9064,                 2.4546,                 2.8835,               0.001406,               0.001406,               0.001406
                     12,                 2.2555,                 2.2918,                 2.9004,                 0.5257,                0.49738,                0.40078,                 0.2241,                 1.7378,                 3.1788,                 2.9381,                0.00134,                0.00134,                0.00134
                     13,                   2.19,                 2.2912,                 2.8598,                0.65678,                0.41026,                0.46223,                0.28516,                 1.7775,                 2.6816,                 3.0436,               0.001274,               0.001274,               0.001274
                     14,                 2.1442,                 2.4015,                 2.8046,                0.38038,                 0.3542,                0.25775,                0.11504,                 1.9477,                 2.8981,                 2.8937,               0.001208,               0.001208,               0.001208
                     15,                 2.1018,                 2.3133,                 2.7443,                0.77093,                0.47436,                0.61998,                0.38832,                 1.5382,                 2.2977,                 2.6553,               0.001142,               0.001142,               0.001142
                     16,                 2.0587,                 2.1454,                 2.6787,                0.67569,                0.57692,                0.64534,                0.38138,                 1.5314,                 2.0685,                  2.532,               0.001076,               0.001076,               0.001076
                     17,                 1.9946,                 2.0214,                  2.619,                0.68447,                0.37179,                0.53519,                0.32004,                 1.5374,                 2.2123,                 2.4177,                0.00101,                0.00101,                0.00101
                     18,                  1.892,                 2.0068,                 2.4925,                0.88956,                0.48718,                0.61594,                0.39418,                 1.5834,                 2.0166,                 2.3996,               0.000944,               0.000944,               0.000944
                     19,                  1.899,                 1.9704,                 2.5089,                0.78939,                0.52862,                0.63163,                 0.3909,                 1.4241,                 1.9696,                 2.3185,               0.000878,               0.000878,               0.000878
                     20,                 1.7673,                 1.8728,                 2.3625,                0.84029,                0.57692,                0.72422,                0.48179,                 1.3059,                 1.7369,                 2.1165,               0.000812,               0.000812,               0.000812
                     21,                 1.5035,                 2.0678,                 2.2751,                 0.9374,                 0.5641,                 0.6884,                0.48403,                 1.3065,                 1.8132,                  2.139,               0.000746,               0.000746,               0.000746
                     22,                 1.4341,                 1.8763,                 2.1984,                0.87803,                0.57692,                0.73991,                0.51666,                 1.2492,                 1.8004,                 2.0635,                0.00068,                0.00068,                0.00068
                     23,                 1.3808,                 1.7775,                 2.0582,                  0.966,                0.58974,                0.78011,                0.52467,                 1.2326,                 1.6171,                 1.9621,               0.000614,               0.000614,               0.000614
                     24,                 1.3441,                 1.6567,                 2.0348,                0.91807,                0.66667,                0.82138,                0.59602,                 1.1664,                 1.4552,                 1.9257,               0.000548,               0.000548,               0.000548
                     25,                 1.2599,                 1.5807,                 1.9404,                0.80975,                0.66667,                0.78333,                0.55559,                 1.2357,                 1.5361,                 2.0033,               0.000482,               0.000482,               0.000482
                     26,                 1.3012,                 1.5666,                 1.9369,                0.57749,                0.70096,                0.67983,                0.41625,                 1.3787,                 1.8761,                 2.1761,               0.000416,               0.000416,               0.000416
                     27,                 1.3047,                 1.6818,                 1.9253,                0.94117,                0.64103,                0.84781,                0.59356,                 1.1485,                 1.3088,                 1.8654,                0.00035,                0.00035,                0.00035
                     28,                 1.2549,                 1.4966,                 1.9067,                0.81571,                0.66667,                0.80591,                 0.6337,                 0.9911,                 1.2801,                 1.7223,               0.000284,               0.000284,               0.000284
                     29,                 1.1618,                 1.4299,                 1.7644,                0.96502,                0.74359,                0.90157,                0.67221,                 1.0147,                 1.2228,                 1.7514,               0.000218,               0.000218,               0.000218
                     30,                 1.1168,                 1.3897,                 1.7266,                0.96674,                0.74525,                0.92046,                0.71501,                0.93414,                 1.0617,                 1.6553,               0.000152,               0.000152,               0.000152
